status,nanoclay_loading,specimen_id,second_freq_Hz,damping_ratio_pct
ILLUSTRATIVE_NOT_MEASURED,0g,0g-01,459.3475,2.2988
ILLUSTRATIVE_NOT_MEASURED,0g,0g-02,460.4246,2.4797
ILLUSTRATIVE_NOT_MEASURED,0g,0g-03,474.9784,2.3921
ILLUSTRATIVE_NOT_MEASURED,0g,0g-04,459.2133,2.6176
ILLUSTRATIVE_NOT_MEASURED,0g,0g-05,450.9191,2.3064
ILLUSTRATIVE_NOT_MEASURED,0g,0g-06,475.5186,2.3245
ILLUSTRATIVE_NOT_MEASURED,0g,0g-07,445.9946,2.2362
ILLUSTRATIVE_NOT_MEASURED,0g,0g-08,464.0775,2.4694
ILLUSTRATIVE_NOT_MEASURED,0g,0g-09,440.8091,2.1985
ILLUSTRATIVE_NOT_MEASURED,0g,0g-10,451.7172,2.7767
ILLUSTRATIVE_NOT_MEASURED,1g,1g-01,474.0409,2.5882
ILLUSTRATIVE_NOT_MEASURED,1g,1g-02,472.9642,2.9274
ILLUSTRATIVE_NOT_MEASURED,1g,1g-03,485.168,2.5804
ILLUSTRATIVE_NOT_MEASURED,1g,1g-04,478.6399,2.5979
ILLUSTRATIVE_NOT_MEASURED,1g,1g-05,474.2885,2.5824
ILLUSTRATIVE_NOT_MEASURED,1g,1g-06,502.7562,2.691
ILLUSTRATIVE_NOT_MEASURED,1g,1g-07,495.037,2.9401
ILLUSTRATIVE_NOT_MEASURED,1g,1g-08,491.4697,2.6222
ILLUSTRATIVE_NOT_MEASURED,1g,1g-09,498.0837,2.839
ILLUSTRATIVE_NOT_MEASURED,1g,1g-10,488.552,2.9314
ILLUSTRATIVE_NOT_MEASURED,2g,2g-01,521.3248,2.9732
ILLUSTRATIVE_NOT_MEASURED,2g,2g-02,510.4974,2.8093
ILLUSTRATIVE_NOT_MEASURED,2g,2g-03,518.756,3.0413
ILLUSTRATIVE_NOT_MEASURED,2g,2g-04,496.9102,2.877
ILLUSTRATIVE_NOT_MEASURED,2g,2g-05,514.1106,3.0746
ILLUSTRATIVE_NOT_MEASURED,2g,2g-06,527.2932,2.6658
ILLUSTRATIVE_NOT_MEASURED,2g,2g-07,497.7858,3.0215
ILLUSTRATIVE_NOT_MEASURED,2g,2g-08,508.1839,3.2048
ILLUSTRATIVE_NOT_MEASURED,2g,2g-09,516.6557,3.1151
ILLUSTRATIVE_NOT_MEASURED,2g,2g-10,535.4822,3.4173
