status,nanoclay_loading,specimen_id,burn_time_s,burn_length_mm,burning_rate_mm_per_min
ILLUSTRATIVE_NOT_MEASURED,0g,0g-01,129.6893,74.0916,28.7157
ILLUSTRATIVE_NOT_MEASURED,0g,0g-02,140.574,76.0073,33.1901
ILLUSTRATIVE_NOT_MEASURED,0g,0g-03,140.8201,77.5516,34.7843
ILLUSTRATIVE_NOT_MEASURED,0g,0g-04,146.583,74.1071,32.3604
ILLUSTRATIVE_NOT_MEASURED,0g,0g-05,141.8608,75.2153,31.5209
ILLUSTRATIVE_NOT_MEASURED,0g,0g-06,140.684,75.2714,36.001
ILLUSTRATIVE_NOT_MEASURED,0g,0g-07,128.7179,74.362,30.062
ILLUSTRATIVE_NOT_MEASURED,0g,0g-08,148.1968,75.8011,31.5123
ILLUSTRATIVE_NOT_MEASURED,0g,0g-09,142.5396,75.7862,32.5857
ILLUSTRATIVE_NOT_MEASURED,0g,0g-10,160.3347,77.8063,30.2676
ILLUSTRATIVE_NOT_MEASURED,1g,1g-01,123.222,73.5083,35.2678
ILLUSTRATIVE_NOT_MEASURED,1g,1g-02,107.2467,76.3363,42.9405
ILLUSTRATIVE_NOT_MEASURED,1g,1g-03,128.4444,76.545,34.2276
ILLUSTRATIVE_NOT_MEASURED,1g,1g-04,123.7524,74.2502,35.8899
ILLUSTRATIVE_NOT_MEASURED,1g,1g-05,108.2052,73.4144,35.4935
ILLUSTRATIVE_NOT_MEASURED,1g,1g-06,124.963,76.0414,40.2111
ILLUSTRATIVE_NOT_MEASURED,1g,1g-07,128.8,74.5688,37.2036
ILLUSTRATIVE_NOT_MEASURED,1g,1g-08,117.9458,74.6337,36.8051
ILLUSTRATIVE_NOT_MEASURED,1g,1g-09,118.4832,74.668,36.6409
ILLUSTRATIVE_NOT_MEASURED,1g,1g-10,128.9373,75.034,38.3201
ILLUSTRATIVE_NOT_MEASURED,2g,2g-01,101.9589,75.5274,46.6391
ILLUSTRATIVE_NOT_MEASURED,2g,2g-02,86.3509,73.4477,42.806
ILLUSTRATIVE_NOT_MEASURED,2g,2g-03,107.8333,74.4476,39.8723
ILLUSTRATIVE_NOT_MEASURED,2g,2g-04,102.4021,74.0133,40.2954
ILLUSTRATIVE_NOT_MEASURED,2g,2g-05,97.6159,75.3291,45.7611
ILLUSTRATIVE_NOT_MEASURED,2g,2g-06,105.6052,74.4019,47.0598
ILLUSTRATIVE_NOT_MEASURED,2g,2g-07,108.4989,73.8897,46.0943
ILLUSTRATIVE_NOT_MEASURED,2g,2g-08,103.6775,74.322,38.5799
ILLUSTRATIVE_NOT_MEASURED,2g,2g-09,111.342,74.019,45.2784
ILLUSTRATIVE_NOT_MEASURED,2g,2g-10,104.7152,77.6024,44.6137
