status,nanoclay_loading,specimen_id,water_abs_24h_pct,water_abs_48h_pct,water_abs_168h_pct,impact_strength_kJ_m2,density_g_cm3,hardness_shoreD,oxygen_index_pct
ILLUSTRATIVE_NOT_MEASURED,0g,0g-01,4.7149,6.1192,7.5442,19.3646,1.1694,33.3267,21.7581
ILLUSTRATIVE_NOT_MEASURED,0g,0g-02,4.6184,5.9784,9.4255,19.4374,1.158,28.8493,22.1741
ILLUSTRATIVE_NOT_MEASURED,0g,0g-03,5.3518,5.7393,8.4805,20.1534,1.1593,30.9436,20.9093
ILLUSTRATIVE_NOT_MEASURED,0g,0g-04,4.5886,5.3548,8.0281,16.489,1.1706,31.9472,21.6438
ILLUSTRATIVE_NOT_MEASURED,0g,0g-05,4.6528,6.5941,8.6506,16.6757,1.1641,28.7391,21.0862
ILLUSTRATIVE_NOT_MEASURED,0g,0g-06,5.2774,5.9109,8.1484,18.4086,1.1818,31.86,21.2435
ILLUSTRATIVE_NOT_MEASURED,0g,0g-07,4.6555,6.1782,8.42,18.9237,1.1886,33.1017,21.4838
ILLUSTRATIVE_NOT_MEASURED,0g,0g-08,4.4234,6.3026,8.528,19.346,1.2056,33.8726,21.657
ILLUSTRATIVE_NOT_MEASURED,0g,0g-09,5.0504,5.9327,8.4327,18.1516,1.2186,29.9397,22.5932
ILLUSTRATIVE_NOT_MEASURED,0g,0g-10,4.8668,5.4896,8.4421,19.0501,1.1839,31.42,21.4509
ILLUSTRATIVE_NOT_MEASURED,1g,1g-01,4.664,5.7556,7.2813,20.9217,1.2196,35.1629,24.4799
ILLUSTRATIVE_NOT_MEASURED,1g,1g-02,3.9525,4.6018,7.5527,18.5037,1.1997,34.2356,25.0133
ILLUSTRATIVE_NOT_MEASURED,1g,1g-03,4.0683,5.4755,7.8341,22.2229,1.2129,37.4273,24.1234
ILLUSTRATIVE_NOT_MEASURED,1g,1g-04,4.4724,5.182,7.3617,22.3005,1.2131,34.7853,23.6127
ILLUSTRATIVE_NOT_MEASURED,1g,1g-05,4.0138,5.3306,7.3323,22.0769,1.2148,35.3048,23.8935
ILLUSTRATIVE_NOT_MEASURED,1g,1g-06,4.582,4.9986,7.5673,22.1778,1.2067,36.3006,25.0469
ILLUSTRATIVE_NOT_MEASURED,1g,1g-07,4.0045,5.4391,7.9685,21.9673,1.2218,38.3744,23.5606
ILLUSTRATIVE_NOT_MEASURED,1g,1g-08,4.5679,4.9849,8.1353,21.9568,1.1797,37.3514,23.2165
ILLUSTRATIVE_NOT_MEASURED,1g,1g-09,4.2566,5.5388,6.5916,23.5895,1.1826,34.6632,24.0585
ILLUSTRATIVE_NOT_MEASURED,1g,1g-10,4.518,5.4931,7.5753,23.2831,1.2492,33.3944,23.9947
ILLUSTRATIVE_NOT_MEASURED,2g,2g-01,3.7288,4.8322,7.4793,24.4456,1.2289,40.3273,26.7376
ILLUSTRATIVE_NOT_MEASURED,2g,2g-02,3.8314,5.3879,6.6245,26.1452,1.2185,40.6269,25.4298
ILLUSTRATIVE_NOT_MEASURED,2g,2g-03,4.296,4.775,7.3719,25.9213,1.246,36.9865,26.2927
ILLUSTRATIVE_NOT_MEASURED,2g,2g-04,3.7751,4.3501,6.6682,24.4608,1.2209,35.2823,26.5523
ILLUSTRATIVE_NOT_MEASURED,2g,2g-05,4.2256,4.5624,6.7753,26.4915,1.2266,41.4448,26.1999
ILLUSTRATIVE_NOT_MEASURED,2g,2g-06,4.0114,4.3013,6.7563,23.8985,1.2268,40.0619,25.0933
ILLUSTRATIVE_NOT_MEASURED,2g,2g-07,3.7525,4.8143,6.9932,24.9229,1.2549,37.8858,26.2865
ILLUSTRATIVE_NOT_MEASURED,2g,2g-08,3.582,4.7599,6.7712,25.1579,1.2568,39.3982,27.6697
ILLUSTRATIVE_NOT_MEASURED,2g,2g-09,3.4998,4.9279,6.4895,20.7983,1.2387,40.2473,26.5205
ILLUSTRATIVE_NOT_MEASURED,2g,2g-10,3.9976,4.8889,6.1707,24.7581,1.2819,39.739,26.2177
