nanoclay_loading,specimen_id,uts_MPa,modulus_MPa
0g,0g-01,82.8227,5037.0847
0g,0g-02,83.2573,5318.4301
0g,0g-03,89.1299,5182.1463
0g,0g-04,82.7685,5532.9966
0g,0g-05,79.4217,5048.7698
0g,0g-06,89.3479,5077.0636
0g,0g-07,77.4347,4939.661
0g,0g-08,84.7313,5302.4716
0g,0g-09,75.3423,4881.0173
0g,0g-10,79.7438,5780.3591
1g,1g-01,92.222,5865.2982
1g,1g-02,91.8133,6522.551
1g,1g-03,96.4462,5850.2241
1g,1g-04,93.9679,5884.023
1g,1g-05,92.316,5853.9399
1g,1g-06,103.1232,6064.4328
1g,1g-07,100.1927,6546.9875
1g,1g-08,98.8385,5931.2193
1g,1g-09,101.3494,6351.122
1g,1g-10,97.7308,6530.2023
2g,2g-01,111.547,6749.7353
2g,2g-02,106.8939,6468.87
2g,2g-03,110.4431,6866.5795
2g,2g-04,101.0548,6584.852
2g,2g-05,108.4467,6923.6152
2g,2g-06,114.112,6222.858
2g,2g-07,101.4311,6832.6224
2g,2g-08,105.8997,7146.7337
2g,2g-09,109.5405,6993.1135
2g,2g-10,117.6312,7511.0203
