nanoclay_loading,specimen_id,flexural_strength_MPa,flexural_modulus_GPa
0g,0g-01,133.1248,7.2039
0g,0g-02,133.7673,7.5555
0g,0g-03,142.4485,7.3852
0g,0g-04,133.0448,7.8237
0g,0g-05,128.0974,7.2185
0g,0g-06,142.7707,7.2538
0g,0g-07,125.16,7.0821
0g,0g-08,135.9463,7.5356
0g,0g-09,122.0668,7.0088
0g,0g-10,128.5734,8.1329
1g,1g-01,143.6606,8.0967
1g,1g-02,142.9428,8.966
1g,1g-03,151.0787,8.0767
1g,1g-04,146.7266,8.1214
1g,1g-05,143.8257,8.0817
1g,1g-06,162.8041,8.3601
1g,1g-07,157.658,8.9983
1g,1g-08,155.2798,8.1839
1g,1g-09,159.6891,8.7392
1g,1g-10,153.3347,8.9761
2g,2g-01,172.7348,9.1074
2g,2g-02,165.4867,8.7486
2g,2g-03,171.0152,9.2567
2g,2g-04,156.3911,8.8968
2g,2g-05,167.9054,9.3296
2g,2g-06,176.7302,8.4342
2g,2g-07,156.9773,9.2134
2g,2g-08,163.9379,9.6147
2g,2g-09,169.6092,9.4184
2g,2g-10,182.2121,10.0802
