frequency_Hz,0g_STL_dB,1g_STL_dB,2g_STL_dB,status
100,8.0,7.0,11.0,ILLUSTRATIVE_SCHEMATIC_TREND
150,10.0,9.0,13.0,ILLUSTRATIVE_SCHEMATIC_TREND
200,12.0,11.0,15.0,ILLUSTRATIVE_SCHEMATIC_TREND
300,14.0,12.5,17.0,ILLUSTRATIVE_SCHEMATIC_TREND
400,16.0,14.5,19.0,ILLUSTRATIVE_SCHEMATIC_TREND
500,15.0,13.5,17.0,ILLUSTRATIVE_SCHEMATIC_TREND
550,12.0,11.5,15.0,ILLUSTRATIVE_SCHEMATIC_TREND
700,18.0,17.0,20.0,ILLUSTRATIVE_SCHEMATIC_TREND
900,21.0,20.0,23.0,ILLUSTRATIVE_SCHEMATIC_TREND
1100,24.0,23.0,26.0,ILLUSTRATIVE_SCHEMATIC_TREND
1200,29.0,28.0,33.0,ILLUSTRATIVE_SCHEMATIC_TREND
1300,23.0,22.0,25.0,ILLUSTRATIVE_SCHEMATIC_TREND
1350,19.0,19.0,22.0,ILLUSTRATIVE_SCHEMATIC_TREND
1450,26.0,25.5,28.0,ILLUSTRATIVE_SCHEMATIC_TREND
1550,31.0,30.5,35.0,ILLUSTRATIVE_SCHEMATIC_TREND
1650,28.0,27.5,30.0,ILLUSTRATIVE_SCHEMATIC_TREND
1800,30.0,29.5,32.0,ILLUSTRATIVE_SCHEMATIC_TREND
