property,group1,group2,meandiff,p-adj,lower,upper,reject
water_abs_24h_pct,0g,1g,-0.51,0.0012,-0.825,-0.195,True
water_abs_24h_pct,0g,2g,-0.95,0.0,-1.265,-0.635,True
water_abs_24h_pct,1g,2g,-0.44,0.0049,-0.755,-0.125,True
water_abs_48h_pct,0g,1g,-0.68,0.0004,-1.058,-0.302,True
water_abs_48h_pct,0g,2g,-1.2,0.0,-1.578,-0.822,True
water_abs_48h_pct,1g,2g,-0.52,0.0056,-0.898,-0.142,True
water_abs_168h_pct,0g,1g,-0.89,0.0003,-1.3722,-0.4078,True
water_abs_168h_pct,0g,2g,-1.6,0.0,-2.0822,-1.1178,True
water_abs_168h_pct,1g,2g,-0.71,0.0031,-1.1922,-0.2278,True
impact_strength_kJ_m2,0g,1g,3.3,0.0,1.7371,4.8629,True
impact_strength_kJ_m2,0g,2g,6.1,0.0,4.5371,7.6629,True
impact_strength_kJ_m2,1g,2g,2.8,0.0004,1.2371,4.3629,True
density_g_cm3,0g,1g,0.03,0.0065,0.0078,0.0522,True
density_g_cm3,0g,2g,0.06,0.0,0.0378,0.0822,True
density_g_cm3,1g,2g,0.03,0.0065,0.0078,0.0522,True
hardness_shoreD,0g,1g,4.3,0.0,2.3362,6.2638,True
hardness_shoreD,0g,2g,7.8,0.0,5.8362,9.7638,True
hardness_shoreD,1g,2g,3.5,0.0004,1.5362,5.4638,True
oxygen_index_pct,0g,1g,2.5,0.0,1.8286,3.1715,True
oxygen_index_pct,0g,2g,4.7,0.0,4.0286,5.3715,True
oxygen_index_pct,1g,2g,2.2,0.0,1.5286,2.8714,True
